Country,Election for,Date,Status,Registered,Actual Votes,Participation
North Macedonia,North Macedonian Assembly,2024-05-08 (t),Date not confirmed,None,n/a,
Lithuania,Lithuanian Presidency,2024-05-12 (d),Confirmed,None,n/a,
Lithuania,Referendum,2024-05-12 (d),Confirmed,None,n/a,
Dominican Republic,Dominican Senate,2024-05-19 (d),Confirmed,None,n/a,
Dominican Republic,Dominican Presidency,2024-05-19 (d),Confirmed,None,n/a,
Dominican Republic,Dominican Chamber of Deputies,2024-05-19 (d),Confirmed,None,n/a,
Venezuela,Venezuela Presidency,2024-05-31 (t),Date not confirmed,None,n/a,
New Caledonia,New Caledonian Territorial Congress,2024-05-31 (t),Date not confirmed,None,n/a,
Iceland,Icelandic Presidency,2024-06-01 (t),Confirmed,None,n/a,
Mexico,Mexican Senate,2024-06-02 (t),Date not confirmed,None,n/a,
Mexico,Mexican Chamber of Deputies,2024-06-02 (t),Date not confirmed,None,n/a,
Mexico,Mexican Presidency,2024-06-02 (t),Date not confirmed,None,n/a,
European Union,European Parliament,2024-06-06 (t),Confirmed,None,n/a,
Belgium,Belgian Chamber of Representatives,2024-06-09 (t),Confirmed,None,n/a,
Mauritania,Mauritanian Presidency,2024-06-22 (d),Confirmed,None,n/a,
Mongolia,Mongolian State Great Hural,2024-06-28 (d),Confirmed,None,n/a,
South Africa,South African National Assembly,2024-06-30 (t),Date not confirmed,None,n/a,
Madagascar,Malagasy National Assembly,2024-06-30 (t),Date not confirmed,None,n/a,
Croatia,Croatian Assembly,2024-06-30 (t),Date not confirmed,None,n/a,
Rwanda,Rwandan Presidency,2024-07-15 (d),Confirmed,None,n/a,
Rwanda,Rwandan Chamber of Deputies,2024-07-15 (d),Confirmed,None,n/a,
Syrian Arab Republic,Syrian People's Council,2024-07-31 (t),Date not confirmed,None,n/a,
Czech Republic,Czech Senate,2024-09-30 (t),Date not confirmed,None,n/a,
Austria,Austrian National Council,2024-09-30 (t),Date not confirmed,None,n/a,
Sri Lanka,Sri Lankan Presidency,2024-09-30 (t),Date not confirmed,None,n/a,
Mozambique,Mozambican Assembly,2024-10-09 (t),Confirmed,None,n/a,
Mozambique,Mozambican Presidency,2024-10-09 (t),Confirmed,None,n/a,
Lithuania,Lithuanian Parliament,2024-10-13 (t),Date not confirmed,None,n/a,
Georgia,Georgian Parliament,2024-10-26 (d),Confirmed,None,n/a,
Uruguay,Uruguayan Presidency,2024-10-27 (t),Date not confirmed,None,n/a,
Uruguay,Uruguayan Chamber of Senators,2024-10-27 (t),Date not confirmed,None,n/a,
Uruguay,Uruguayan Chamber of Representatives,2024-10-27 (t),Date not confirmed,None,n/a,
Tunisia,Tunisian Presidency,2024-10-31 (t),Date not confirmed,None,n/a,
Chad,Chadian Presidency,2024-10-31 (t),Date not confirmed,None,n/a,
Botswana,Botswana National Assembly,2024-10-31 (t),Date not confirmed,None,n/a,
Jordan,Jordanian House of Deputies,2024-10-31 (t),Date not confirmed,None,n/a,
United States of America,US House of Representatives,2024-11-05 (d),Confirmed,None,n/a,
Guam,Guamanian Legislature,2024-11-05 (d),Confirmed,None,n/a,
Puerto Rico,Puerto Rican Governor,2024-11-05 (d),Confirmed,None,n/a,
Puerto Rico,Puerto Rican Senate,2024-11-05 (d),Confirmed,None,n/a,
Puerto Rico,Puerto Rican House of Representatives,2024-11-05 (d),Confirmed,None,n/a,
American Samoa,American Somoan House of Representatives,2024-11-05 (d),Confirmed,None,n/a,
United States of America,US Senate,2024-11-05 (d),Confirmed,None,n/a,
United States of America,US Presidency,2024-11-05 (d),Confirmed,None,n/a,
Palau,Palauan Senate,2024-11-12 (d),Confirmed,None,n/a,
Palau,Palauan Presidency,2024-11-12 (d),Confirmed,None,n/a,
Palau,Palauan House of Delegates,2024-11-12 (d),Confirmed,None,n/a,
"Moldova, Republic of",Referendum,2024-11-30 (t),Date not confirmed,None,n/a,
"Moldova, Republic of",Moldovan Presidency,2024-11-30 (t),Date not confirmed,None,n/a,
Namibia,Namibian National Assembly,2024-11-30 (t),Date not confirmed,None,n/a,
Romania,Romanian Senate,2024-11-30 (t),Date not confirmed,None,n/a,
Tonga,Tongan Legislative Assembly,2024-11-30 (t),Date not confirmed,None,n/a,
Somaliland,Somaliland Presidency,2024-11-30 (t),Date not confirmed,None,n/a,
Montserrat,Montserratian Legislative Council,2024-11-30 (t),Date not confirmed,None,n/a,
Georgia,Georgian Presidency,2024-11-30 (t),Date not confirmed,None,n/a,
Romania,Romanian Chamber of Deputies,2024-11-30 (t),Date not confirmed,None,n/a,
Romania,Romanian Presidency,2024-11-30 (t),Date not confirmed,None,n/a,
Namibia,Namibian Presidency,2024-11-30 (t),Date not confirmed,None,n/a,
Ghana,Ghanaian Parliament,2024-12-07 (t),Date not confirmed,None,n/a,
Ghana,Ghanaian Presidency,2024-12-07 (t),Date not confirmed,None,n/a,
Senegal,Senegalese Presidency,2024-12-15 (d),Postponed,None,n/a,
Mauritius,Mauritian National Assembly,2024-12-31 (t),Date not confirmed,None,n/a,
San Marino,Sammarinese Grand and General Council,2024-12-31 (t),Date not confirmed,None,n/a,
Uzbekistan,Uzbekistani Legislative Chamber,2024-12-31 (t),Date not confirmed,None,n/a,
